,0,1,2,3,4,5,6,7
[1. 2. 0. 0. 0. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 1. 0. 0. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 3. 0. 0. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 3. 1. 0. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 3. 2. 0. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 3. 2. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 3. 3. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 1. 1. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 1. 2. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 2. 1. 1. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 2. 1. 2. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 2. 0. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 1. 0. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0
terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 1. 0. 0. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 2. 0. 0. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
